Atomtypes,Cuttoff,Ncliques,Distance,Median(Score),LDA,SUC,SAM,LLP,U5P,1PE,GSH,PMP,PLM,BOG,Mean,Percent
CA_GRE,3,5,6,SrelScore08,0.725462963,0.556712963,0.8114969136,0.8521604938,0.5865740741,0.7263888889,0.7265432099,0.9174382716,0.7230709877,0.555941358,0.7181790123,0
CA_GRE,3,5,6,Srel,0.7234567901,0.5574845679,0.8023919753,0.8547839506,0.6018518519,0.7319444444,0.7141203704,0.9195987654,0.6987654321,0.5469135802,0.7151311728,0
CA_GRE,3,5,6,Tanimoto,0.7234567901,0.5574845679,0.8023919753,0.8547839506,0.6018518519,0.7319444444,0.7141203704,0.9195987654,0.6987654321,0.5469135802,0.7151311728,0
ACC_DON_GRE,1.5,5,6,SrelScore05,0.6401234568,0.7010802469,0.7275462963,0.9042438272,0.6288580247,0.5739197531,0.9172067901,0.8979938272,0.6853395062,0.4692901235,0.7145601852,0
CA_GRE,2.5,5,6,SrelScore05,0.7095679012,0.5807098765,0.8163580247,0.8224537037,0.5262345679,0.6982253086,0.7671296296,0.9367283951,0.7393518519,0.5339506173,0.7130709877,0
CA_ACC_DON,2,5,6,SrelScore08,0.668287037,0.5446759259,0.7970679012,0.9257716049,0.6588734568,0.531712963,0.9409722222,0.8929012346,0.5189814815,0.6325617284,0.7111805556,0
CA_ACC_DON,2,5,6,Srel,0.6730709877,0.5270833333,0.7954475309,0.9257716049,0.6637345679,0.5341049383,0.9393518519,0.893287037,0.5337191358,0.6233024691,0.7108873457,0
CA_ACC_DON,2,5,6,Tanimoto,0.6730709877,0.5270833333,0.7954475309,0.9257716049,0.6637345679,0.5341049383,0.9393518519,0.893287037,0.5337191358,0.6233024691,0.7108873457,0
CA_GRE,3.5,5,6,SrelScore08,0.6725308642,0.5502314815,0.7847993827,0.8468364198,0.594058642,0.7197530864,0.7508487654,0.9297067901,0.7330246914,0.5267746914,0.7108564815,0
CA_ACC_DON,2,5,6,SrelScore05,0.6462962963,0.6099537037,0.8013117284,0.9175154321,0.6429012346,0.5219135802,0.9398148148,0.8902777778,0.5084104938,0.594058642,0.7072453704,0
CA_GRE,2.5,5,6,SrelScore08,0.6984567901,0.5800154321,0.8037037037,0.8352623457,0.5299382716,0.7037808642,0.7047839506,0.9307098765,0.7130401235,0.5492283951,0.7048919753,0
CA_GRE,3.5,5,6,Srel,0.6769290123,0.5433641975,0.7726851852,0.8424382716,0.5921296296,0.7219135802,0.712654321,0.9217592593,0.7124228395,0.5233024691,0.7019598765,0
CA_GRE,3.5,5,6,Tanimoto,0.6769290123,0.5433641975,0.7726851852,0.8424382716,0.5921296296,0.7219135802,0.712654321,0.9217592593,0.7124228395,0.5233024691,0.7019598765,0
ACC_DON_GRE,2,5,6,SrelScore05,0.5381944444,0.7691358025,0.7704475309,0.9357253086,0.6230709877,0.4899691358,0.9401234568,0.8864197531,0.6326388889,0.4293209877,0.7015046296,0
CA_GRE,2,5,6,SrelScore08,0.7094135802,0.6527777778,0.7988425926,0.774845679,0.5471450617,0.6571759259,0.7077932099,0.9481481481,0.680941358,0.5356481481,0.7012731481,0
ACC_DON_GRE,1.5,5,6,SrelScore08,0.6266975309,0.712037037,0.7391203704,0.9169753086,0.6163580247,0.5347993827,0.9206790123,0.8929012346,0.6029320988,0.4467592593,0.7009259259,0
CA_GRE,2,5,6,SrelScore05,0.7402777778,0.6299382716,0.7822530864,0.7877314815,0.5298611111,0.6351080247,0.7391975309,0.9388117284,0.7145833333,0.4966049383,0.6994367284,0
ACC_DON_GRE,2,5,6,SrelScore08,0.5293209877,0.7689814815,0.755787037,0.9430555556,0.655941358,0.4707561728,0.937037037,0.8725308642,0.5929783951,0.4358796296,0.6962268519,0
CA_ACC_DON,2.5,5,6,SrelScore05,0.5944444444,0.6083333333,0.7929783951,0.9271604938,0.6222993827,0.4070216049,0.9464506173,0.8898148148,0.5541666667,0.6172839506,0.6959953704,0
CA_GRE,2,5,6,Srel,0.6938271605,0.6561728395,0.8010030864,0.7658179012,0.5548611111,0.6628858025,0.6828703704,0.9402006173,0.6592592593,0.5385802469,0.6955478395,0
CA_GRE,2,5,6,Tanimoto,0.6938271605,0.6561728395,0.8010030864,0.7658179012,0.5548611111,0.6628858025,0.6828703704,0.9402006173,0.6592592593,0.5385802469,0.6955478395,0
CA_GRE,2.5,5,6,Srel,0.6951388889,0.5898148148,0.7900462963,0.8337191358,0.5319444444,0.6997685185,0.656404321,0.9235339506,0.6864197531,0.5480709877,0.6954861111,0
CA_GRE,2.5,5,6,Tanimoto,0.6951388889,0.5898148148,0.7900462963,0.8337191358,0.5319444444,0.6997685185,0.656404321,0.9235339506,0.6864197531,0.5480709877,0.6954861111,0
ACC_DON_GRE,1.5,5,6,Srel,0.6078703704,0.7165895062,0.7522376543,0.9214506173,0.6145833333,0.4961419753,0.9185185185,0.8941358025,0.5744598765,0.4528549383,0.6948842593,0
ACC_DON_GRE,1.5,5,6,Tanimoto,0.6078703704,0.7165895062,0.7522376543,0.9214506173,0.6145833333,0.4961419753,0.9185185185,0.8941358025,0.5744598765,0.4528549383,0.6948842593,0
ACC_DON_GRE,3,5,6,SrelScore05,0.5833333333,0.6927469136,0.7299382716,0.9451388889,0.5613425926,0.4732253086,0.9310185185,0.8857253086,0.7109567901,0.4341049383,0.6947530864,0
ACC_DON,1.5,5,6,SrelScore08,0.693595679,0.6363425926,0.73125,0.8913580247,0.668287037,0.4833333333,0.9075617284,0.856404321,0.4922067901,0.5648148148,0.6925154321,0.001010101
ACC_DON,1.5,5,6,SrelScore05,0.6866512346,0.6242283951,0.7303240741,0.8766975309,0.6341049383,0.4967592593,0.8952160494,0.8712962963,0.5465277778,0.5621141975,0.6923919753,0.001010101
ACC_DON_GRE,3.5,5,6,SrelScore05,0.6587962963,0.655787037,0.7400462963,0.9428240741,0.5641203704,0.5179012346,0.8789351852,0.8791666667,0.6449074074,0.4375771605,0.6920061728,0
CA_ACC_DON,2.5,5,6,SrelScore08,0.5750771605,0.5863425926,0.793441358,0.9305555556,0.64375,0.4281635802,0.9456790123,0.8904320988,0.5081018519,0.6162037037,0.6917746914,0
CA_ACC_DON,2.5,5,6,Srel,0.5672839506,0.5767746914,0.7930555556,0.9327160494,0.6494598765,0.4456018519,0.9438271605,0.8909722222,0.4982253086,0.6161265432,0.691404321,0
CA_ACC_DON,2.5,5,6,Tanimoto,0.5672839506,0.5767746914,0.7930555556,0.9327160494,0.6494598765,0.4456018519,0.9438271605,0.8909722222,0.4982253086,0.6161265432,0.691404321,0
ACC_DON_GRE,2,5,6,Srel,0.506404321,0.7672839506,0.7433641975,0.9438271605,0.6573302469,0.4699074074,0.9303240741,0.8661265432,0.5765432099,0.4420524691,0.690316358,0
ACC_DON_GRE,2,5,6,Tanimoto,0.506404321,0.7672839506,0.7433641975,0.9438271605,0.6573302469,0.4699074074,0.9303240741,0.8661265432,0.5765432099,0.4420524691,0.690316358,0
CA_ACC_DON,3,5,6,SrelScore05,0.4811728395,0.6720679012,0.8055555556,0.9445216049,0.6506944444,0.4202932099,0.9522376543,0.8924382716,0.5227623457,0.5540895062,0.6895833333,0
ACC_DON_GRE,3,5,6,SrelScore08,0.5543209877,0.6982253086,0.7351851852,0.9524691358,0.555787037,0.493132716,0.9338734568,0.8783950617,0.6635030864,0.4226851852,0.688757716,0
ACC_DON,1.5,5,6,Srel,0.6908950617,0.61875,0.7375771605,0.8910493827,0.680941358,0.4772376543,0.9097222222,0.8520833333,0.4603395062,0.5598765432,0.6878472222,0.001010101
ACC_DON,1.5,5,6,Tanimoto,0.6908950617,0.61875,0.7375771605,0.8910493827,0.680941358,0.4772376543,0.9097222222,0.8520833333,0.4603395062,0.5598765432,0.6878472222,0.001010101
ACC_DON,2,5,6,SrelScore08,0.6353395062,0.6450617284,0.7480709877,0.9222993827,0.6793209877,0.481558642,0.931867284,0.8539351852,0.4158179012,0.556558642,0.6869830247,0.001010101
ACC_DON_GRE,2.5,5,6,SrelScore08,0.518441358,0.7503858025,0.7424382716,0.9429012346,0.605787037,0.4614969136,0.9272376543,0.8828703704,0.6502314815,0.387345679,0.6869135802,0
ACC_DON,2,5,6,SrelScore05,0.6464506173,0.6229166667,0.7533950617,0.9125,0.681867284,0.4631944444,0.9226080247,0.8475308642,0.4503858025,0.556404321,0.6857253086,0.001010101
ACC_DON_GRE,2.5,5,6,Srel,0.5137345679,0.7467592593,0.7388117284,0.943441358,0.6038580247,0.474845679,0.9206018519,0.8781635802,0.6328703704,0.4002314815,0.6853317901,0
ACC_DON_GRE,2.5,5,6,Tanimoto,0.5137345679,0.7467592593,0.7388117284,0.943441358,0.6038580247,0.474845679,0.9206018519,0.8781635802,0.6328703704,0.4002314815,0.6853317901,0
ACC_DON,2,5,6,Srel,0.6250771605,0.6483796296,0.743287037,0.9219135802,0.6753858025,0.4868055556,0.9275462963,0.849845679,0.4133487654,0.5587962963,0.6850385802,0.001010101
ACC_DON,2,5,6,Tanimoto,0.6250771605,0.6483796296,0.743287037,0.9219135802,0.6753858025,0.4868055556,0.9275462963,0.849845679,0.4133487654,0.5587962963,0.6850385802,0.001010101
ACC_DON_GRE,3,5,6,Srel,0.5372685185,0.6962962963,0.7329475309,0.9528549383,0.5666666667,0.4906635802,0.931404321,0.8688271605,0.6391975309,0.4223765432,0.6838503086,0
ACC_DON_GRE,3,5,6,Tanimoto,0.5372685185,0.6962962963,0.7329475309,0.9528549383,0.5666666667,0.4906635802,0.931404321,0.8688271605,0.6391975309,0.4223765432,0.6838503086,0
ACC_DON_GRE,2.5,5,6,SrelScore05,0.5458333333,0.7372685185,0.7321759259,0.9331790123,0.5749228395,0.4638117284,0.9174382716,0.8875,0.6728395062,0.3726851852,0.6837654321,0
ACC_DON_GRE,3.5,5,6,SrelScore08,0.6108024691,0.6472222222,0.7422839506,0.9427469136,0.5572530864,0.5277006173,0.9020061728,0.8655864198,0.6203703704,0.4179012346,0.6833873457,0
CA_ACC_DON,3,5,6,SrelScore08,0.4499228395,0.6382716049,0.7990740741,0.9552469136,0.6647376543,0.3770833333,0.9551697531,0.8919753086,0.5232253086,0.5509259259,0.6805632716,0
CA_ACC_DON_GRE,1.5,5,6,SO,0.6278549383,0.550154321,0.6413580247,0.7405092593,0.7260802469,0.661882716,0.8365740741,0.9469135802,0.575308642,0.4979166667,0.6804552469,0
CA_ACC_DON_GRE,1.5,5,6,SOScore08,0.6243055556,0.5652006173,0.6483796296,0.749691358,0.7175925926,0.6658179012,0.8410493827,0.9475308642,0.5798611111,0.4641203704,0.6803549383,0
CA_ACC_DON_GRE,3,5,6,SOScore05,0.637037037,0.5905092593,0.6558641975,0.7658950617,0.6739197531,0.5851080247,0.9085648148,0.9293981481,0.6799382716,0.3524691358,0.6778703704,0
CA_ACC_DON,3,5,6,Srel,0.4549382716,0.6228395062,0.7952160494,0.9564814815,0.6711419753,0.3614969136,0.955787037,0.8910493827,0.5206790123,0.5456018519,0.6775231481,0
CA_ACC_DON,3,5,6,Tanimoto,0.4549382716,0.6228395062,0.7952160494,0.9564814815,0.6711419753,0.3614969136,0.955787037,0.8910493827,0.5206790123,0.5456018519,0.6775231481,0
ACC_DON_GRE,3.5,5,6,Srel,0.5804783951,0.6396604938,0.7429012346,0.9392746914,0.5605709877,0.5329475309,0.9037808642,0.8516975309,0.6044753086,0.4135030864,0.6769290123,0
ACC_DON_GRE,3.5,5,6,Tanimoto,0.5804783951,0.6396604938,0.7429012346,0.9392746914,0.5605709877,0.5329475309,0.9037808642,0.8516975309,0.6044753086,0.4135030864,0.6769290123,0
CA_ACC_DON,3.5,5,6,SrelScore05,0.4240740741,0.6554012346,0.8125,0.9560185185,0.650617284,0.3865740741,0.9523919753,0.8912037037,0.5176697531,0.512345679,0.6758796296,0
CA_GRE,1.5,5,6,SrelScore05,0.6679012346,0.6277777778,0.6614969136,0.6950617284,0.5222222222,0.6601080247,0.7100308642,0.9553240741,0.7111111111,0.5456018519,0.6756635802,0
CA_ACC_DON_GRE,2.5,5,6,SO,0.5958333333,0.5782407407,0.6611111111,0.7858024691,0.7048611111,0.5878858025,0.8967592593,0.9273148148,0.6397376543,0.3784722222,0.6756018519,0
CA_ACC_DON_GRE,2,5,6,SO,0.5856481481,0.5797839506,0.6752314815,0.7799382716,0.6977623457,0.5819444444,0.8932098765,0.9422839506,0.5948302469,0.4186728395,0.6749305556,0
CA_ACC_DON_GRE,2.5,5,6,SOScore08,0.593132716,0.5851080247,0.6591820988,0.7903549383,0.6979938272,0.581558642,0.900617284,0.9268518519,0.6460648148,0.3683641975,0.6749228395,0
CA_ACC_DON_GRE,1.5,5,6,SOScore05,0.6247685185,0.5607253086,0.6648919753,0.7625,0.694367284,0.6457561728,0.8459876543,0.9435185185,0.569212963,0.4284722222,0.6740200617,0
CA_ACC_DON_GRE,2.5,5,6,SOScore05,0.6160493827,0.5861882716,0.656404321,0.7929783951,0.6674382716,0.5717592593,0.8987654321,0.9285493827,0.6537808642,0.3672839506,0.6739197531,0
CA_ACC_DON,3.5,5,6,SrelScore08,0.3880401235,0.6333333333,0.812808642,0.9652777778,0.6662037037,0.3719907407,0.9557098765,0.8908950617,0.5010802469,0.5465277778,0.6731867284,0
CA_ACC_DON_GRE,2,5,6,SOScore08,0.5895833333,0.5653549383,0.6759259259,0.7780864198,0.6908950617,0.5769290123,0.8947530864,0.944058642,0.6044753086,0.4080246914,0.672808642,0
CA_ACC_DON,3.5,5,6,Srel,0.3859567901,0.6311728395,0.8094135802,0.9672839506,0.6716049383,0.3685185185,0.9561728395,0.8910493827,0.4884259259,0.5445987654,0.6714197531,0
CA_ACC_DON,3.5,5,6,Tanimoto,0.3859567901,0.6311728395,0.8094135802,0.9672839506,0.6716049383,0.3685185185,0.9561728395,0.8910493827,0.4884259259,0.5445987654,0.6714197531,0
CA_ACC_DON_GRE,3.5,5,6,SOScore05,0.6452160494,0.5807098765,0.6560185185,0.7238425926,0.6775462963,0.5983024691,0.913117284,0.8993055556,0.6483024691,0.3382716049,0.6680632716,0
CA_ACC_DON_GRE,3,5,6,SOScore08,0.6006944444,0.556404321,0.6529320988,0.7714506173,0.6909722222,0.5787808642,0.9036265432,0.9259259259,0.6469135802,0.3416666667,0.6669367284,0
ACC_DON,2.5,5,6,SrelScore08,0.5712962963,0.6783179012,0.71875,0.9375771605,0.6655864198,0.3848765432,0.9357253086,0.8341049383,0.4367283951,0.4968364198,0.6659799383,0.001010101
CA_ACC_DON_GRE,2,5,6,SOScore05,0.5968364198,0.5514660494,0.6728395062,0.7830246914,0.65625,0.5735339506,0.8915123457,0.9405864198,0.6095679012,0.3782407407,0.6653858025,0
