Atomtypes,Cuttoff,Ncliques,Distance,Median(Score),AND,BGC,NAD,PO4,GLC,FMN,EST,ATP,HEM,AMP,FAD,Mean
ACC_DON_GRE,3.5,5,6,Srel,0.696428571429,0.420731707317,0.45777027027,nan,0.969093754523,0.665957446809,0.939024390244,0.729651162791,0.707589285714,0.872675736961,0.871413565426,nan
ACC_DON_GRE,3.5,5,6,Tanimoto,0.696428571429,0.420731707317,0.45777027027,nan,0.965547655232,0.665957446809,0.939024390244,0.729651162791,0.707589285714,0.872675736961,0.871413565426,nan
ACC_DON_GRE,3.5,5,6,SrelScore08,0.704081632653,0.417682926829,0.459558823529,nan,0.96476968447,0.663164893617,0.951219512195,0.737980769231,0.716346153846,0.872321428571,0.871143457383,nan
ACC_DON_GRE,3.5,5,6,SrelScore05,0.757653061224,0.512195121951,0.488175675676,nan,0.959170104212,0.650531914894,0.957317073171,0.745248211091,0.724324324324,0.870386904762,0.853969087635,nan
ACC_DON_GRE,3,5,6,Srel,0.573979591837,0.426829268293,0.426680672269,nan,0.966060985798,0.634640389162,0.798780487805,0.722991320997,0.680405405405,0.867191043084,0.841071428571,nan
ACC_DON_GRE,3,5,6,Tanimoto,0.573979591837,0.426829268293,0.426680672269,nan,0.966060985798,0.634640389162,0.798780487805,0.722991320997,0.680405405405,0.867191043084,0.841071428571,nan
ACC_DON_GRE,3,5,6,SrelScore08,0.580357142857,0.44512195122,0.434138655462,nan,0.964147720492,0.637313602473,0.829268292683,0.718274821109,0.690540540541,0.865518707483,0.838775510204,nan
ACC_DON_GRE,3,5,6,SrelScore05,0.605867346939,0.487804878049,0.514802631579,nan,0.955297469865,0.637868248773,0.853658536585,0.726464669052,0.695945945946,0.863903061224,0.830357142857,nan
ACC_DON_GRE,2.5,5,6,Srel,0.66262755102,0.818298969072,0.456875,nan,0.977040816327,0.640292553191,0.907216494845,0.701531753131,0.703125,0.872916666667,0.818799996851,nan
ACC_DON_GRE,2.5,5,6,Tanimoto,0.66262755102,0.818298969072,0.456875,nan,0.977040816327,0.640292553191,0.907216494845,0.701531753131,0.703125,0.872916666667,0.818799996851,nan
ACC_DON_GRE,2.5,5,6,SrelScore08,0.700255102041,0.822164948454,0.47,nan,0.975765306122,0.641489361702,0.914948453608,0.709078711986,0.699118589744,0.875694444444,0.814582545981,nan
ACC_DON_GRE,2.5,5,6,SrelScore05,0.771045918367,0.829896907216,0.5040625,nan,0.958545918367,0.629654255319,0.920103092784,0.714221824687,0.685897435897,0.861326058201,0.79375,nan
ACC_DON_GRE,2,5,6,Srel,0.633928571429,0.677272727273,0.484558823529,nan,0.927933673469,0.678590425532,0.887886597938,0.707569320215,0.665006868132,0.838101438492,0.788966049383,nan
ACC_DON_GRE,2,5,6,Tanimoto,0.633928571429,0.677272727273,0.484558823529,nan,0.927933673469,0.678590425532,0.887886597938,0.707569320215,0.665006868132,0.838101438492,0.788966049383,nan
ACC_DON_GRE,2,5,6,SrelScore08,0.705357142857,0.727272727273,0.492121848739,nan,0.924744897959,0.675265957447,0.894329896907,0.712153398927,0.664835164835,0.843601190476,0.783101851852,nan
ACC_DON_GRE,2,5,6,SrelScore05,0.832270408163,0.779545454545,0.516911764706,nan,0.903698979592,0.659840425532,0.869845360825,0.701308139535,0.658138736264,0.844270833333,0.755313838498,nan
ACC_DON_GRE,2,5,6,aaScore08,0.28443877551,0.0979381443299,0.530625,nan,0.763392857143,0.609441489362,0.397551546392,0.529349284436,0.515522875817,0.576041666667,0.715200617284,nan
ACC_DON_GRE,1.5,5,6,Srel,0.566964285714,0.786363636364,0.490651260504,nan,0.945153061224,0.605053191489,0.800257731959,0.655545617174,0.603365384615,0.77806712963,0.69496409675,nan
ACC_DON_GRE,1.5,5,6,Tanimoto,0.566964285714,0.786363636364,0.490651260504,nan,0.945153061224,0.605053191489,0.800257731959,0.655545617174,0.603365384615,0.77806712963,0.69496409675,nan
ACC_DON_GRE,1.5,5,6,SrelScore08,0.607142857143,0.795454545455,0.486554621849,nan,0.93431122449,0.640425531915,0.796391752577,0.665865384615,0.608173076923,0.788483796296,0.691353300579,nan
ACC_DON_GRE,3,5,6,aaScore08,0.557397959184,0.243902439024,0.506578947368,nan,0.637777479413,0.538563829787,0.302835051546,0.489723557692,0.451923076923,0.484367913832,0.688797556059,nan
ACC_DON_GRE,1.5,5,6,SrelScore05,0.668367346939,0.842783505155,0.54125,nan,0.90306122449,0.690691489362,0.756443298969,0.662231663685,0.587912087912,0.805456349206,0.679641439909,nan
ACC_DON_GRE,1.5,5,6,aaScore08,0.130102040816,0.680412371134,0.468067226891,nan,0.720663265306,0.533111702128,0.486469072165,0.541927549195,0.462826797386,0.602521494709,0.672839506173,nan
ACC_DON_GRE,2.5,5,6,aaScore08,0.794005102041,0.389175257732,0.51512605042,nan,0.735969387755,0.492420212766,0.427835051546,0.492229427549,0.555460164835,0.491158234127,0.672530864198,nan
ACC_DON_GRE,3,5,6,aaScore05,0.520408163265,0.115853658537,0.472039473684,nan,0.624246628476,0.540159574468,0.248711340206,0.459414132379,0.46926510989,0.460714285714,0.670524691358,nan
ACC_DON_GRE,3.5,5,6,aaScore08,0.580357142857,0.14375,0.491554054054,nan,0.717913229121,0.535106382979,0.481958762887,0.538461538462,0.527815934066,0.456923185941,0.661561476442,nan
ACC_DON_GRE,2,5,6,aaScore05,0.100765306122,0.0850515463918,0.509375,nan,0.742984693878,0.619946808511,0.405133928571,0.517805439608,0.523692810458,0.531405009921,0.661219135802,nan
