Mode Resolución Alpha ROC PR
Annotation 0.8 0.7000000000000001 0.7613451103779056 0.14560896816380672
Annotation 0.8 0.8 0.7367832886282204 0.14445454403662694
Annotation 0.8 0.9 0.7367326964184606 0.1444540239855453
Annotation 0.8 1.0 0.47598562960876967 0.008341884422529047
Annotation 0.9 0.0 0.8834655209188432 0.17288286528111516
Annotation 0.9 0.1 0.8828312373581917 0.17418579756415759
Annotation 0.9 0.2 0.8797508127512115 0.17416578961194126
Annotation 0.9 0.30000000000000004 0.8725296846737128 0.17245510097817615
Annotation 0.9 0.4 0.8589376455599024 0.16958462426767298
Annotation 0.9 0.5 0.8373029954443085 0.16516034206509317
Annotation 0.9 0.6000000000000001 0.80922861638074 0.16014093281857836
Annotation 0.9 0.7000000000000001 0.7816162860525449 0.1553652017849696
Annotation 0.9 0.8 0.7651810254892876 0.1546960215253028
Annotation 0.9 0.9 0.7651563117243692 0.15469577256157485
Annotation 0.9 1.0 0.4840516715641542 0.00846761979589917
Annotation 1.0 0.0 0.8834655209188432 0.17288286528111516
Annotation 1.0 0.1 0.8830051539621547 0.17486296284137642
Annotation 1.0 0.2 0.8808384254861745 0.1749359632482804
Annotation 1.0 0.30000000000000004 0.8757279314014302 0.17451359314004097
Annotation 1.0 0.4 0.8663095181608598 0.17352141913406605
Annotation 1.0 0.5 0.8522392960135482 0.17144341029592924
Annotation 1.0 0.6000000000000001 0.8365075166662305 0.16857769687636823
Annotation 1.0 0.7000000000000001 0.8216833145226021 0.16580141469451548
Annotation 1.0 0.8 0.8111858127331482 0.1652967360565127
Annotation 1.0 0.9 0.8111557471977452 0.16529644274381416
Annotation 1.0 1.0 0.49502096728154726 0.00864824039102821
Layered 0.1 0.0 0.8834655209188432 0.17288286528111516
Layered 0.1 0.1 0.883155433430404 0.17317825286823327
Layered 0.1 0.2 0.8825945355120455 0.17339681159532133
Layered 0.1 0.30000000000000004 0.8817067250970438 0.1736189767100227
Layered 0.1 0.4 0.8803496756692122 0.1737216375315933
Layered 0.1 0.5 0.8785957004748466 0.17365300387552846
Layered 0.1 0.6000000000000001 0.8771028197653954 0.1733571440423862
Layered 0.1 0.7000000000000001 0.8759070773614739 0.172949056592178
Layered 0.1 0.8 0.874601295663734 0.1728791527589581
Layered 0.1 0.9 0.8746009974467075 0.17287914967531126
Layered 0.1 1.0 0.5368538771163236 0.009423054265558757
Layered 0.2 0.0 0.8834655209188432 0.17288286528111516
Layered 0.2 0.1 0.883029005397779 0.17316929103241271
Layered 0.2 0.2 0.8815072823009158 0.1748886170086179
Layered 0.2 0.30000000000000004 0.8784862122450559 0.1744578230590264
Layered 0.2 0.4 0.8732979058279058 0.1733945274399019
Layered 0.2 0.5 0.8651786979721314 0.17213045096189147
Layered 0.2 0.6000000000000001 0.8552996472978065 0.17129685299278066
Layered 0.2 0.7000000000000001 0.8469304932338994 0.17011955450766805
Layered 0.2 0.8 0.8437407266669025 0.1700222410881657
Layered 0.2 0.9 0.8437407266669025 0.1700222410881657
Layered 0.2 1.0 0.5802934902467259 0.010418062296358945
Layered 0.3 0.0 0.8834655209188432 0.17288286528111516
Layered 0.3 0.1 0.8806551356640897 0.1720492120220528
Layered 0.3 0.2 0.873877411283495 0.16918748131247394
Layered 0.3 0.30000000000000004 0.8617366336750684 0.1649480321052414
Layered 0.3 0.4 0.844012088971215 0.15921501237283645
Layered 0.3 0.5 0.8241972136348119 0.15303789977589377
Layered 0.3 0.6000000000000001 0.8090183504679782 0.14418580172668083
Layered 0.3 0.7000000000000001 0.7925018025570787 0.1361834759015486
Layered 0.3 0.8 0.7851821302867539 0.13579343305187333
Layered 0.3 0.9 0.7851821302867539 0.13579343305187333
Layered 0.3 1.0 0.6050017448235971 0.011477488043982326
Layered 0.4 0.0 0.8834655209188432 0.17288286528111516
Layered 0.4 0.1 0.8827604661449265 0.17279944900601973
Layered 0.4 0.2 0.8794477485028362 0.17115450071145585
Layered 0.4 0.30000000000000004 0.8724762661255316 0.1670901348243104
Layered 0.4 0.4 0.8615751388461472 0.1606787433393515
Layered 0.4 0.5 0.8493689643554465 0.15429498882495757
Layered 0.4 0.6000000000000001 0.8412629814387064 0.15064513512937927
Layered 0.4 0.7000000000000001 0.8391120151370022 0.14994091632672318
Layered 0.4 0.8 0.8390704958366348 0.14993408005192035
Layered 0.4 0.9 0.8390704958366348 0.14993408005192035
Layered 0.4 1.0 0.6578473768606742 0.016571082683193145
Layered 0.5 0.0 0.8834655209188432 0.17288286528111516
Layered 0.5 0.1 0.883594186525413 0.17316367829186363
Layered 0.5 0.2 0.8827759796058041 0.1726078947749579
Layered 0.5 0.30000000000000004 0.880824444496259 0.17059775287685044
Layered 0.5 0.4 0.8777379464814007 0.16654728564315283
Layered 0.5 0.5 0.87433070709017 0.16135881709898123
Layered 0.5 0.6000000000000001 0.8718697820393408 0.1575650003790349
Layered 0.5 0.7000000000000001 0.87123570401337 0.15676514465073083
Layered 0.5 0.8 0.8712256311705344 0.1567549924230025
Layered 0.5 0.9 0.8712256311705344 0.1567549924230025
Layered 0.5 1.0 0.6839725191974247 0.03029259636991788
Layered 0.6 0.0 0.8834655209188432 0.17288286528111516
Layered 0.6 0.1 0.8842485339463226 0.17343148896671062
Layered 0.6 0.2 0.884279903608488 0.17319353151825528
Layered 0.6 0.30000000000000004 0.8835746748248368 0.17214798533482217
Layered 0.6 0.4 0.8820757946143323 0.17014961647988042
Layered 0.6 0.5 0.8801716007106972 0.167800215120206
Layered 0.6 0.6000000000000001 0.8787656805443373 0.1659794012067055
Layered 0.6 0.7000000000000001 0.8783790400778592 0.16544948891206454
Layered 0.6 0.8 0.8783613272415105 0.16542844345244917
Layered 0.6 0.9 0.8783613272415105 0.16542844345244917
Layered 0.6 1.0 0.7142537526646013 0.038123857266467255
Layered 0.7 0.0 0.8834655209188432 0.17288286528111516
Layered 0.7 0.1 0.8845394026721526 0.17288584586913566
Layered 0.7 0.2 0.8845632688991023 0.17180789546622557
Layered 0.7 0.30000000000000004 0.8834644744201164 0.16953724807972756
Layered 0.7 0.4 0.8813806173082686 0.16628523646781848
Layered 0.7 0.5 0.8787037560377705 0.16297147170284482
Layered 0.7 0.6000000000000001 0.8766112928646275 0.16098130804227556
Layered 0.7 0.7000000000000001 0.8759195284701544 0.16046534457929634
Layered 0.7 0.8 0.8758953415154743 0.160450778156498
Layered 0.7 0.9 0.8758953415154743 0.160450778156498
Layered 0.7 1.0 0.7233427496903306 0.03155500337040533
Layered 0.8 0.0 0.8834655209188432 0.17288286528111516
Layered 0.8 0.1 0.8839789948098294 0.17140898465364235
Layered 0.8 0.2 0.8826336297322719 0.16879947355620908
Layered 0.8 0.30000000000000004 0.8793615514809925 0.16496298014410327
Layered 0.8 0.4 0.8743568480436865 0.16048123003938505
Layered 0.8 0.5 0.8686177263122922 0.15685616290528998
Layered 0.8 0.6000000000000001 0.8642338376140419 0.15487620709328276
Layered 0.8 0.7000000000000001 0.8626771427439434 0.15432022034291712
Layered 0.8 0.8 0.8625834648473907 0.1543006498751318
Layered 0.8 0.9 0.8625834648473907 0.1543006498751318
Layered 0.8 1.0 0.7179742551472227 0.02227328403698556
Layered 0.9 0.0 0.8834655209188432 0.17288286528111516
Layered 0.9 0.1 0.8872115254394448 0.17356458875313127
Layered 0.9 0.2 0.88871360794701 0.17314793907568354
Layered 0.9 0.30000000000000004 0.8874416706944143 0.17137471278613498
Layered 0.9 0.4 0.8834153361428665 0.16839034190234567
Layered 0.9 0.5 0.8774147583608245 0.16540041793281057
Layered 0.9 0.6000000000000001 0.8708474049761451 0.16354968396306205
Layered 0.9 0.7000000000000001 0.8679720986018521 0.16299323556795267
Layered 0.9 0.8 0.8677723059435647 0.16296436915733517
Layered 0.9 0.9 0.8677723059435647 0.16296436915733517
Layered 0.9 1.0 0.7401082411367854 0.019978569338434744
Layered 1.0 0.0 0.8834655209188432 0.17288286528111516
Layered 1.0 0.1 0.8866756937876934 0.1732424800477118
Layered 1.0 0.2 0.8882315100430993 0.17309145904962359
Layered 1.0 0.30000000000000004 0.8878191969154726 0.1723656092094841
Layered 1.0 0.4 0.8853347895149216 0.17131167334253627
Layered 1.0 0.5 0.8813519578950308 0.1701898821799394
Layered 1.0 0.6000000000000001 0.8773968797819465 0.16921425657610664
Layered 1.0 0.7000000000000001 0.8747104687934701 0.16868250616254848
Layered 1.0 0.8 0.8740627443005908 0.16864226785365333
Layered 1.0 0.9 0.8740627443005908 0.16864226785365333
Layered 1.0 1.0 0.6958190511755966 0.01467025299111319
